city,comparison_type,rep_a,rep_b,level,n_only_a,n_only_b,n_both,n_union,overlap_pct
milan,full_b1,2,1,section:reach,0,1,8,9,88.9
milan,full_b1,2,1,section:digital,0,0,4,4,100.0
milan,full_b1,2,1,section:notable,2,3,12,17,70.6
milan,full_b1,2,2,whole_report,11,10,58,79,73.4
milan,full_b1,2,2,section:geographic,4,1,14,19,73.7
milan,full_b1,2,2,section:types,5,4,10,19,52.6
milan,full_b1,2,2,section:operational,0,1,10,11,90.9
milan,full_b1,2,2,section:reach,0,1,8,9,88.9
milan,full_b1,2,2,section:digital,0,0,4,4,100.0
milan,full_b1,2,2,section:notable,2,3,12,17,70.6
milan,full_b1,2,3,whole_report,11,10,58,79,73.4
milan,full_b1,2,3,section:geographic,4,1,14,19,73.7
milan,full_b1,2,3,section:types,5,4,10,19,52.6
milan,full_b1,2,3,section:operational,0,1,10,11,90.9
milan,full_b1,2,3,section:reach,0,1,8,9,88.9
milan,full_b1,2,3,section:digital,0,0,4,4,100.0
milan,full_b1,2,3,section:notable,2,3,12,17,70.6
milan,full_b1,3,1,whole_report,9,15,60,84,71.4
milan,full_b1,3,1,section:geographic,5,3,13,21,61.9
milan,full_b1,3,1,section:types,2,7,13,22,59.1
milan,full_b1,3,1,section:operational,0,1,10,11,90.9
milan,full_b1,3,1,section:reach,0,1,8,9,88.9
milan,full_b1,3,1,section:digital,0,0,4,4,100.0
milan,full_b1,3,1,section:notable,2,3,12,17,70.6
milan,full_b1,3,2,whole_report,11,10,58,79,73.4
milan,full_b1,3,2,section:geographic,4,1,14,19,73.7
milan,full_b1,3,2,section:types,5,4,10,19,52.6
milan,full_b1,3,2,section:operational,0,1,10,11,90.9
milan,full_b1,3,2,section:reach,0,1,8,9,88.9
milan,full_b1,3,2,section:digital,0,0,4,4,100.0
milan,full_b1,3,2,section:notable,2,3,12,17,70.6
milan,full_b1,3,3,whole_report,11,10,58,79,73.4
milan,full_b1,3,3,section:geographic,4,1,14,19,73.7
milan,full_b1,3,3,section:types,5,4,10,19,52.6
milan,full_b1,3,3,section:operational,0,1,10,11,90.9
milan,full_b1,3,3,section:reach,0,1,8,9,88.9
milan,full_b1,3,3,section:digital,0,0,4,4,100.0
milan,full_b1,3,3,section:notable,2,3,12,17,70.6
