city,comparison_type,rep_a,rep_b,level,n_only_a,n_only_b,n_both,n_union,overlap_pct
dublin,b1_b1,1,2,section:geographic,3,7,12,22,54.5
dublin,b1_b1,1,2,section:types,4,2,10,16,62.5
dublin,b1_b1,1,2,section:operational,1,0,9,10,90.0
dublin,b1_b1,1,2,section:reach,0,0,12,12,100.0
dublin,b1_b1,1,2,section:digital,0,0,4,4,100.0
dublin,b1_b1,1,2,section:notable,0,0,16,16,100.0
dublin,b1_b1,1,3,whole_report,8,9,63,80,78.8
dublin,b1_b1,1,3,section:geographic,3,7,12,22,54.5
dublin,b1_b1,1,3,section:types,4,2,10,16,62.5
dublin,b1_b1,1,3,section:operational,1,0,9,10,90.0
dublin,b1_b1,1,3,section:reach,0,0,12,12,100.0
dublin,b1_b1,1,3,section:digital,0,0,4,4,100.0
dublin,b1_b1,1,3,section:notable,0,0,16,16,100.0
dublin,b1_b1,2,3,whole_report,0,0,72,72,100.0
dublin,b1_b1,2,3,section:geographic,0,0,19,19,100.0
dublin,b1_b1,2,3,section:types,0,0,12,12,100.0
dublin,b1_b1,2,3,section:operational,0,0,9,9,100.0
dublin,b1_b1,2,3,section:reach,0,0,12,12,100.0
dublin,b1_b1,2,3,section:digital,0,0,4,4,100.0
dublin,b1_b1,2,3,section:notable,0,0,16,16,100.0
dublin,full_b1,1,1,whole_report,7,15,56,78,71.8
dublin,full_b1,1,1,section:geographic,5,3,12,20,60.0
dublin,full_b1,1,1,section:types,1,1,13,15,86.7
dublin,full_b1,1,1,section:operational,0,1,9,10,90.0
dublin,full_b1,1,1,section:reach,1,3,9,13,69.2
dublin,full_b1,1,1,section:digital,0,0,4,4,100.0
dublin,full_b1,1,1,section:notable,0,7,9,16,56.2
dublin,full_b1,1,2,whole_report,10,19,53,82,64.6
dublin,full_b1,1,2,section:geographic,5,7,12,24,50.0
dublin,full_b1,1,2,section:types,4,2,10,16,62.5
dublin,full_b1,1,2,section:operational,0,0,9,9,100.0
dublin,full_b1,1,2,section:reach,1,3,9,13,69.2
dublin,full_b1,1,2,section:digital,0,0,4,4,100.0
dublin,full_b1,1,2,section:notable,0,7,9,16,56.2
dublin,full_b1,1,3,whole_report,10,19,53,82,64.6
dublin,full_b1,1,3,section:geographic,5,7,12,24,50.0
dublin,full_b1,1,3,section:types,4,2,10,16,62.5
dublin,full_b1,1,3,section:operational,0,0,9,9,100.0
dublin,full_b1,1,3,section:reach,1,3,9,13,69.2
dublin,full_b1,1,3,section:digital,0,0,4,4,100.0
dublin,full_b1,1,3,section:notable,0,7,9,16,56.2
dublin,full_b1,2,1,whole_report,5,18,53,76,69.7
dublin,full_b1,2,1,section:geographic,2,4,11,17,64.7
dublin,full_b1,2,1,section:types,2,2,12,16,75.0
dublin,full_b1,2,1,section:operational,0,2,8,10,80.0
dublin,full_b1,2,1,section:reach,1,3,9,13,69.2
dublin,full_b1,2,1,section:digital,0,0,4,4,100.0
dublin,full_b1,2,1,section:notable,0,7,9,16,56.2
dublin,full_b1,2,2,whole_report,7,21,51,79,64.6
dublin,full_b1,2,2,section:geographic,2,8,11,21,52.4
dublin,full_b1,2,2,section:types,4,2,10,16,62.5
dublin,full_b1,2,2,section:operational,0,1,8,9,88.9
dublin,full_b1,2,2,section:reach,1,3,9,13,69.2
dublin,full_b1,2,2,section:digital,0,0,4,4,100.0
dublin,full_b1,2,2,section:notable,0,7,9,16,56.2
dublin,full_b1,2,3,whole_report,7,21,51,79,64.6
dublin,full_b1,2,3,section:geographic,2,8,11,21,52.4
dublin,full_b1,2,3,section:types,4,2,10,16,62.5
dublin,full_b1,2,3,section:operational,0,1,8,9,88.9
dublin,full_b1,2,3,section:reach,1,3,9,13,69.2
