city,comparison_type,rep_a,rep_b,level,char_similarity
brighton,full_full,1,3,section:notable,1.0
brighton,full_full,2,3,whole_report,1.0
brighton,full_full,2,3,section:geographic,1.0
brighton,full_full,2,3,section:types,1.0
brighton,full_full,2,3,section:operational,1.0
brighton,full_full,2,3,section:reach,1.0
brighton,full_full,2,3,section:digital,1.0
brighton,full_full,2,3,section:notable,1.0
brighton,b1_b1,1,2,whole_report,0.5809
brighton,b1_b1,1,2,section:geographic,0.1157
brighton,b1_b1,1,2,section:types,0.229
brighton,b1_b1,1,2,section:operational,0.2008
brighton,b1_b1,1,2,section:reach,1.0
brighton,b1_b1,1,2,section:digital,1.0
brighton,b1_b1,1,2,section:notable,1.0
brighton,b1_b1,1,3,whole_report,0.5809
brighton,b1_b1,1,3,section:geographic,0.1157
brighton,b1_b1,1,3,section:types,0.229
brighton,b1_b1,1,3,section:operational,0.2008
brighton,b1_b1,1,3,section:reach,1.0
brighton,b1_b1,1,3,section:digital,1.0
brighton,b1_b1,1,3,section:notable,1.0
brighton,b1_b1,2,3,whole_report,1.0
brighton,b1_b1,2,3,section:geographic,1.0
brighton,b1_b1,2,3,section:types,1.0
brighton,b1_b1,2,3,section:operational,1.0
brighton,b1_b1,2,3,section:reach,1.0
brighton,b1_b1,2,3,section:digital,1.0
brighton,b1_b1,2,3,section:notable,1.0
brighton,full_b1,1,1,whole_report,0.2757
brighton,full_b1,1,1,section:geographic,0.1259
brighton,full_b1,1,1,section:types,0.1222
brighton,full_b1,1,1,section:operational,0.1428
brighton,full_b1,1,1,section:reach,0.1227
brighton,full_b1,1,1,section:digital,1.0
brighton,full_b1,1,1,section:notable,0.1823
brighton,full_b1,1,2,whole_report,0.3819
brighton,full_b1,1,2,section:geographic,0.4796
brighton,full_b1,1,2,section:types,0.2904
brighton,full_b1,1,2,section:operational,0.1737
brighton,full_b1,1,2,section:reach,0.1227
brighton,full_b1,1,2,section:digital,1.0
brighton,full_b1,1,2,section:notable,0.1823
brighton,full_b1,1,3,whole_report,0.3819
brighton,full_b1,1,3,section:geographic,0.4796
brighton,full_b1,1,3,section:types,0.2904
brighton,full_b1,1,3,section:operational,0.1737
brighton,full_b1,1,3,section:reach,0.1227
brighton,full_b1,1,3,section:digital,1.0
brighton,full_b1,1,3,section:notable,0.1823
brighton,full_b1,2,1,whole_report,0.2916
brighton,full_b1,2,1,section:geographic,0.2548
brighton,full_b1,2,1,section:types,0.1145
brighton,full_b1,2,1,section:operational,0.1172
brighton,full_b1,2,1,section:reach,0.1227
brighton,full_b1,2,1,section:digital,1.0
brighton,full_b1,2,1,section:notable,0.1823
brighton,full_b1,2,2,whole_report,0.3407
brighton,full_b1,2,2,section:geographic,0.2989
brighton,full_b1,2,2,section:types,0.2483
brighton,full_b1,2,2,section:operational,0.1602
brighton,full_b1,2,2,section:reach,0.1227
brighton,full_b1,2,2,section:digital,1.0
brighton,full_b1,2,2,section:notable,0.1823
brighton,full_b1,2,3,whole_report,0.3407
brighton,full_b1,2,3,section:geographic,0.2989
brighton,full_b1,2,3,section:types,0.2483
brighton,full_b1,2,3,section:operational,0.1602
brighton,full_b1,2,3,section:reach,0.1227
brighton,full_b1,2,3,section:digital,1.0
brighton,full_b1,2,3,section:notable,0.1823
brighton,full_b1,3,1,whole_report,0.2916
brighton,full_b1,3,1,section:geographic,0.2548
brighton,full_b1,3,1,section:types,0.1145
