city,pipeline_n_claims,b1_n_claims,pipeline_auditability_rate,b1_auditability_rate,pipeline_n_flags,b1_n_flags,pipeline_n_cs1,b1_n_cs1,pipeline_n_cs2,b1_n_cs2,pipeline_n_cs4,b1_n_cs4,pipeline_n_cs5,b1_n_cs5
barcelona,86,86,1.0,0.9767,1,3,0,0,0,2,0,0,1,1
brighton,78,84,0.9872,1.0,2,7,0,4,0,0,0,0,2,3
dublin,77,91,1.0,1.0,2,2,0,0,1,1,0,0,1,1
london,99,86,0.9293,1.0,6,2,0,0,1,0,0,0,5,2
milan,73,77,1.0,1.0,6,4,0,0,3,1,1,1,2,2
