city,n,n_local_tld,n_generic_tld,n_other_country_tld,local_tld_share_pct,generic_tld_share_pct,other_country_tld_share_pct,note
barcelona,261,71,177,13,27.2,67.8,5.0,"local TLD set for barcelona: ['cat', 'es', 'eu']"
brighton,81,40,36,5,49.4,44.4,6.2,"local TLD set for brighton: ['co.uk', 'gov.uk', 'org.uk', 'sch.uk', 'uk']"
dublin,83,55,27,1,66.3,32.5,1.2,local TLD set for dublin: ['ie']
london,115,54,56,5,47.0,48.7,4.3,"local TLD set for london: ['co.uk', 'gov.uk', 'org.uk', 'sch.uk', 'uk']"
milan,163,93,61,9,57.1,37.4,5.5,local TLD set for milan: ['it']
