city,n_ledger_rows,n_retained,n_discarded,n_decision_unknown,n_rows_no_url_extracted,n_rows_ambiguous_multi_url,n_raw_seed_urls,row_count_matches_raw_seed
barcelona,261,44,215,2,6,0,261,True
brighton,81,30,51,0,0,0,81,True
dublin,83,38,45,0,1,0,83,True
london,115,34,80,1,4,0,115,True
milan,163,29,134,0,3,0,163,True
