city,community_reports_total,reports_with_confirmed_leakage,confirmed_leakage_names_found
barcelona,324,0,
brighton,5,4,ALEX;CONTROL;CRUZ;FIRST CONTACT;HUMANITY'S RESPONSE;INTELLIGENCE;JORDAN;MERCER;OPERATION: DULCE;SAM RIVERA;TAYLOR;THE DEVICE;THE TEAM;WASHINGTON
dublin,3,0,
london,248,0,
milan,376,0,
